resultId,raceId,driverId,constructorId,number,positionOrder,points,rank
1203,74,15,7,16,5,4,11
1204,74,2,3,8,6,3,9
1205,74,17,3,7,7,2,14
1206,74,24,9,15,8,1,7
1207,74,23,7,17,9,0,13
1208,74,13,15,12,10,0,8
1209,74,14,9,14,11,0,16
1210,74,39,17,19,12,0,12
1211,74,33,17,18,13,0,17
1212,74,27,18,21,14,0,19
1213,74,22,6,2,15,0,15
1214,74,8,1,9,16,0,5
1215,74,40,18,20,17,0,20
1216,74,21,4,6,18,0,18
1217,74,18,16,3,19,0,2
1218,74,11,16,4,20,0,6
1219,75,8,1,9,1,10,4
1220,75,4,4,5,2,8,5
1221,75,15,7,16,3,6,8
1222,75,23,7,17,4,5,6
1223,75,21,4,6,5,4,1
1224,75,17,3,7,6,3,9
1225,75,31,1,10,7,2,3
1226,75,14,9,14,8,1,11
1227,75,22,6,2,9,0,12
1228,75,2,3,8,10,0,7
1229,75,13,15,12,11,0,10
1230,75,33,17,18,12,0,14
1231,75,39,17,19,13,0,16
1232,75,35,15,11,14,0,13
1233,75,30,6,1,15,0,2
1234,75,27,18,21,16,0,17
1235,75,40,18,20,17,0,18
1236,75,24,9,15,18,0,15
1237,76,8,1,9,1,10,2
1238,76,2,3,8,2,8,9
1239,76,17,3,7,3,6,7
1240,76,4,4,5,4,5,3
1241,76,31,1,10,5,4,10
1242,76,23,7,17,6,3,8
1243,76,30,6,1,7,2,1
1244,76,22,6,2,8,1,6
1245,76,13,15,12,9,0,13
1246,76,15,7,16,10,0,5
1247,76,35,15,11,11,0,11
1248,76,21,4,6,12,0,4
1249,76,33,17,18,13,0,17
1250,76,27,18,21,14,0,16
1251,76,24,9,15,15,0,14
1252,76,40,18,20,16,0,15
1253,76,14,9,14,17,0,12
1254,76,39,17,19,18,0,18
1255,77,4,4,5,1,10,1
1256,77,2,3,8,2,8,4
1257,77,22,6,2,3,6,3
1258,77,14,9,14,4,5,5
1259,77,30,6,1,5,4,6
1260,77,21,4,6,6,3,7
1261,77,31,1,10,7,2,10
1262,77,15,7,16,8,1,9
1263,77,24,9,15,9,0,13
1264,77,18,16,3,10,0,12
1265,77,8,1,9,11,0,2
1266,77,11,16,4,12,0,11
1267,77,35,15,11,13,0,15
1268,77,13,15,12,14,0,14
1269,77,33,17,18,15,0,17
1270,77,39,17,19,16,0,16
1271,77,27,18,21,17,0,18
1272,77,40,18,20,18,0,19
1273,77,23,7,17,19,0,8
1274,77,17,3,7,20,0,\N
1275,78,8,1,9,1,10,1
1276,78,30,6,1,2,8,4
1277,78,22,6,2,3,6,8
1278,78,13,15,12,4,5,13
1279,78,17,3,7,5,4,7
1280,78,23,7,17,6,3,10
1281,78,14,9,14,7,2,16
1282,78,32,9,15,8,1,15
